Meisterzählung,D,A,B,C,E,F,G,W,Notizen
1,#f2v+ #iE+ines liedeſ ich beginne,#f9r+ #iE+iner rede ich hie beginne,,,,,#f2r+ []Ines liedes wil ich beginne,,
2,in ſente Marien minne,in ſant #rMarien+ minne,,,,,in ſancte ma[…]ne,,
3,der ewigen chuniginne,der æwig#aen+ chvniginne,,,,,der ewigen chuniginne,,
4,div gerûche #sov+ch min sinne,#rD+iv ger#suo+che mine ſinne,,,,,diu ruoche m[…],,
5,vnd mine bruſte erreinen,#rv+#and+ mine bruſt erreinen,,,,,vnd min bruſt zerei#ann+ne,,
6,uor allerſlahte mæile,#rU+on aller ſlahte mainen,,,,,uon aller ſlahte meile,,
7,daz ich n#suo+ mûze ſcriben,#rD+az ich nu m#sve+zze ſchr#ze+iben,,,,,d[…] m#suo+ze ſcriben,,
8,uon ir div allen wiben,#rv+on ir div allen weiben,,,,,uon d#aer+ die allen wiben,,
9,die itewize hat benomen,#rd+iv itewiz hat benomen,,,,,den etwizze h[…]n,,
10,daz der tot was bechomen,#rD+az der t#soe+t waz bechomen,,,,,daz d#aer+ tot was bechomen,,
11,uon dem erſten wibe in die werlte,#rU+on dem ærſten wibe in die welt,,,,,uon dem erſten wibe […]lt,,
12,ſit wart div here maget erwelte,#rD+o wart div aewige magt erwelt,,,,,ſit wart diu ewige magde erwelt,,
13,dar zu daz bediu man vnt wîp,#rD+az beidiv man vnde weip,,,,,daz bediv […] wip,,
14,daz lieht vnd den ewigen lip,#rL+ieht v#and+ den æwigen leip,,,,,lieht vnd ewigen lip,,
15,mit #lde+r warheit m#suo+ſe ſch#sov+wen,#rm+it ziêrde m#sue+zze ſchowen,,,,,mit gecirde muſe ſch[…],,
16,da zir vil tivrer fr#sov+en,#rv+on der tivren vrouwen,,,,,,,
17,,,,,,,[…]n gedenchet edel frawen,,
18,ſi gebar den waren ſunnen,#rS+i gebar die sch#soe+nen ſvnne ,,,,,ſi gepar die ſchonne ſun[…],,
19,ſi ist aller gnaden wnne,#rS+i iſt aller werlde wunne,,,,,[…]ler wibe wunne,,
20,wie wol ſi iz allez underuie,#rW+ie wol ſiz allez vnder vienk,,,,,wie wol ſiz allez vnderuie,,
21,ſwaz eua sunden ie begie,#rS+waz ſvnden eva begienk,,,,,ſwaz […]nden begie,,
22,wan ſi hat geb#suo+zet wol den ual,#f9v+ #rS+i hat verb#sue+zzet wol den val,,,,,ſi hat uerbuzzet den val,,
23,ir chuſke luhtet uber al,#rI+r chevſche lævhtet vber al,,,,,ir chuſche l[…]r al,,
24,nu ſchulen ir getruen,#rN+v ſul wir ir getrowen #dwol+,,,,,nu ſuln wir ir getruwen,,
25,wande wir in dem tode bûwen,#rW+an wir die ſvnde bowen,,,,,ſit wir indem tode […],,
26,daz ſi unſ ellenden,#rD+az ſi vns ellende,,,,,[…]s ſi vns ellende,,
27,mege wider heim geſenden,#rF+r#soe+lich heim ſende,,,,,wid#aer+ heim geſende,,
28,unt uns geruche wisen,#rU+nde daz ſi weiſe ,,,,,vnd vns rv[…],,
29,zu dem vrônen paradiſe,#rZ+#suo+ dem fr#soe+nen paradeiſe,,,,,,,
